size_mb run mode elapsed_s
200 1 controller 0.549724
200 1 baseline 0.421221
200 2 controller 0.520041
200 2 baseline 0.424093
200 3 controller 0.508674
200 3 baseline 0.424753
200 4 controller 0.535773
200 4 baseline 0.423746
200 5 controller 0.530063
200 5 baseline 0.424590
200 6 controller 0.529572
200 6 baseline 0.423448
200 7 controller 0.521462
200 7 baseline 0.442266
200 8 controller 0.545080
200 8 baseline 0.441247
200 9 controller 0.533550
200 9 baseline 0.440366
200 10 controller 0.528081
200 10 baseline 0.438566
500 1 controller 1.198540
500 1 baseline 1.140306
500 2 controller 1.179027
500 2 baseline 1.136412
500 3 controller 1.228678
500 3 baseline 1.076828
500 4 controller 1.184165
500 4 baseline 1.079250
500 5 controller 1.161818
500 5 baseline 1.071281
500 6 controller 1.163284
500 6 baseline 1.074506
500 7 controller 1.183024
500 7 baseline 1.074534
500 8 controller 1.161902
500 8 baseline 1.071575
500 9 controller 1.166001
500 9 baseline 1.074933
500 10 controller 1.162562
500 10 baseline 1.092175
1000 1 controller 2.248595
1000 1 baseline 2.099156
1000 2 controller 2.200513
1000 2 baseline 2.099445
1000 3 controller 2.239344
1000 3 baseline 2.098764
1000 4 controller 2.195039
1000 4 baseline 2.102513
1000 5 controller 2.200239
1000 5 baseline 2.101285
1000 6 controller 2.215311
1000 6 baseline 2.131511
1000 7 controller 2.247673
1000 7 baseline 2.101118
1000 8 controller 2.225782
1000 8 baseline 2.125716
1000 9 controller 2.217118
1000 9 baseline 2.124601
1000 10 controller 2.227286
1000 10 baseline 2.129214
1500 1 controller 7.664407
1500 1 baseline 7.462125
1500 2 controller 7.675417
1500 2 baseline 7.482754
1500 3 controller 7.662228
1500 3 baseline 7.505689
1500 4 controller 7.672855
1500 4 baseline 7.573031
1500 5 controller 7.689304
1500 5 baseline 7.528386
1500 6 controller 7.716330
1500 6 baseline 7.527448
1500 7 controller 7.703730
1500 7 baseline 7.528656
1500 8 controller 7.720944
1500 8 baseline 7.533712
1500 9 controller 7.704710
1500 9 baseline 7.526255
1500 10 controller 7.718149
1500 10 baseline 7.526249
2000 1 controller 10.168100
2000 1 baseline 9.989115
2000 2 controller 10.188975
2000 2 baseline 9.983234
2000 3 controller 10.165511
2000 3 baseline 9.985906
2000 4 controller 10.194759
2000 4 baseline 10.004100
2000 5 controller 10.230255
2000 5 baseline 10.021187
2000 6 controller 10.212558
2000 6 baseline 10.019447
2000 7 controller 10.198523
2000 7 baseline 10.019724
2000 8 controller 10.220780
2000 8 baseline 10.020396
2000 9 controller 10.197374
2000 9 baseline 10.021614
2000 10 controller 10.231229
2000 10 baseline 10.018189
